response,stim,rt,trial,feedback,subj_code,q_init
0,hoarding,0.894868813644394,1,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.425,2,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.255,3,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.571,4,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.482,5,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.039,6,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.508,7,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.974,8,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.621,9,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.554,10,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.427,11,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.576,12,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.233,13,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.429,14,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.516,15,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.541,16,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.545,17,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.423,18,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.463,19,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.69,20,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.42,21,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.086,22,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.491,23,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.537,24,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.659,25,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.087,26,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.458,27,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.431,28,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.966,29,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.883,30,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.159,31,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.72,32,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.391,33,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.207,34,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.101,35,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.485,36,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.885,37,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.056,38,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.841,39,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.5,40,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.711,41,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.169,42,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.754,43,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.392,44,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.645,45,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.417,46,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.272,47,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.468,48,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.727,49,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.656,50,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.206,51,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.93,52,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.849,53,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.509,54,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.786,55,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.014,56,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.118,57,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.999,58,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.675,59,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.47,60,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.867,61,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.535,62,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.357,63,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.778,64,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.726,65,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.578,66,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.696,67,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.013,68,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.608,69,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.551,70,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.569,71,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.042,72,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.403,73,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,2.019,74,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.691,75,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.665,76,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.96,77,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.596,78,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.877482124253254,79,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.135,80,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.376,81,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.65,82,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.595,83,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.54,84,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.413,85,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.803,86,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.938,87,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.586,88,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.956,89,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.688,90,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.741,91,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.493,92,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.466,93,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.604,94,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.231,95,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.886,96,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.952,97,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.808,98,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.663,99,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.002,100,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.015,101,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.583,102,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.783,103,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.082,104,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.871,105,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.994,106,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.625,107,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.912,108,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.673,109,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.133,110,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.949,111,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.66,112,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.619,113,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.672,114,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.763,115,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.914,116,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.809,117,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.984,118,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.485,119,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.441,120,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.599,121,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.098,122,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.447,123,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.556,124,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.974,125,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.444,126,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.625,127,0,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.604,128,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.564,129,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.813,130,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.683,131,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.167,132,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.83,133,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.922,134,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.407,135,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.435,136,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.968,137,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.43,138,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.931,139,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.197,140,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.46,141,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,1.032,142,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.715,143,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.949,144,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.925,145,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,1.159,146,1,an_ve_1958_08_15_010_f,0.5
1,hoarding,0.333,147,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.589,148,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.863,149,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.851,150,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.813,151,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.644,152,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.736,153,0,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.969,154,1,an_ve_1958_08_15_010_f,0.5
0,hoarding,0.432,155,0,an_ve_1958_08_15_010_f,0.5
