response,stim,rt,trial,feedback,subj_code,q_init
0,neutral,0.955439358903522,1,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,1.789,2,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.908,3,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.06695880972953,4,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.406,5,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.108,6,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.356,7,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.639,8,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.598,9,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.414,10,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.903,11,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.497,12,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.358,13,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.576,14,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.647,15,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.753,16,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.702,17,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.634,18,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.536,19,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.546,20,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.923,21,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.645,22,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.515,23,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.418,24,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.387,25,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.369,26,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.807,27,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,1.354,28,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.025,29,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.068,30,0,fa_fa_1974_05_14_03_f,0.5
