ii                                    mean         std        2.5q        25q         50q        75q      97.5q       mc_err
a(DDA.hoarding)                    1.55969   0.0806202     1.40144    1.50367     1.56042    1.61393    1.71693   0.00149493
a(DDA.neutral)                     1.54691   0.0772768     1.39471    1.49545     1.54662    1.59808    1.70175   0.00119396
a(HC.hoarding)                     1.34903   0.0439931     1.26529    1.31954     1.34752    1.37785    1.44022  0.000966419
a(HC.neutral)                       1.2081   0.0436007     1.12221    1.17921      1.2079    1.23762    1.29454  0.000820936
a_std                               0.2819   0.0218432    0.242644   0.266973    0.280866   0.295678   0.327709  0.000571194
a_subj(DDA.hoarding).1             1.90313    0.109013     1.67348    1.83583     1.90391    1.97236    2.11527   0.00474948
a_subj(DDA.hoarding).2               1.076   0.0739197    0.948013    1.02388     1.07161    1.12329    1.23121   0.00239132
a_subj(DDA.hoarding).3             1.72566   0.0640915     1.60778    1.68075     1.72397    1.76658    1.86022   0.00122761
a_subj(DDA.hoarding).4             1.54779   0.0766669     1.40886    1.49349     1.54423    1.59752    1.70751    0.0018149
a_subj(DDA.hoarding).5             1.27267   0.0484251     1.18127    1.23966     1.27213    1.30407    1.36946   0.00114826
a_subj(DDA.hoarding).6             1.79243   0.0772084      1.6463    1.74048     1.79155    1.84339    1.94739   0.00150512
a_subj(DDA.hoarding).7             1.47944    0.057364     1.37316    1.44028     1.47792    1.51813    1.59494   0.00124519
a_subj(DDA.hoarding).8             1.32011   0.0535903     1.21763    1.28319     1.31874    1.35361    1.43087   0.00118414
a_subj(DDA.hoarding).9             1.98162   0.0796422     1.82683    1.92745      1.9808    2.03594    2.14272   0.00166194
a_subj(DDA.hoarding).10            1.55226   0.0571751     1.44283    1.51326     1.55269    1.59053    1.66877   0.00126084
a_subj(DDA.hoarding).11            1.39737   0.0758025     1.25783    1.34588     1.39239    1.44532    1.55993   0.00228914
a_subj(DDA.hoarding).12            1.77028   0.0668299     1.64642    1.72403     1.76762    1.81417    1.90666   0.00138295
a_subj(DDA.hoarding).13            1.46665   0.0628072     1.34675    1.42283     1.46626    1.50906    1.59327   0.00162167
a_subj(DDA.neutral).1              1.61968    0.082016     1.47362    1.56356     1.61509    1.67262    1.79789    0.0022388
a_subj(DDA.neutral).2              1.17479   0.0561396     1.06869    1.13718     1.17336    1.21178    1.29037   0.00135773
a_subj(DDA.neutral).3              1.66699   0.0618862     1.54615    1.62534     1.66575    1.70724    1.79497   0.00134866
a_subj(DDA.neutral).4              1.87823   0.0806912     1.72618     1.8235     1.87609    1.92998    2.04854   0.00168726
a_subj(DDA.neutral).5              1.59735   0.0613683     1.48393    1.55485     1.59558    1.63929     1.7206   0.00156686
a_subj(DDA.neutral).6              1.60546   0.0615349     1.48873     1.5643     1.60344    1.64617    1.73516   0.00141114
a_subj(DDA.neutral).7               1.7255   0.0947136     1.55113    1.65912     1.72372    1.78632    1.91862   0.00268477
a_subj(DDA.neutral).8              1.24344   0.0515294     1.14517    1.20844     1.24278    1.27716    1.34836   0.00111709
a_subj(DDA.neutral).9              1.48705   0.0621646     1.37342    1.44422     1.48595    1.52657    1.61746   0.00144883
a_subj(DDA.neutral).10              1.8085    0.069257     1.68045    1.76129     1.80679    1.85328    1.95108   0.00134415
a_subj(DDA.neutral).11             1.21889   0.0725285     1.08954    1.16895     1.21474    1.26431    1.37925   0.00241294
a_subj(DDA.neutral).12             1.79731   0.0706161     1.65986    1.74971     1.79745    1.84384    1.94113   0.00156954
a_subj(DDA.neutral).13             1.26042   0.0529935      1.1589    1.22397     1.25871    1.29552    1.36677   0.00133499
a_subj(HC.hoarding).14             1.49758   0.0606435      1.3854    1.45572     1.49507     1.5356    1.62113   0.00130332
a_subj(HC.hoarding).15             1.80688    0.109428     1.60619    1.73072     1.80172    1.87972    2.04194   0.00317023
a_subj(HC.hoarding).16             1.07962   0.0405197     1.00382    1.05185     1.07856    1.10665    1.16041  0.000999028
a_subj(HC.hoarding).17             1.44957   0.0556238     1.34689    1.41156     1.44847    1.48628    1.55973   0.00109563
a_subj(HC.hoarding).18             1.62362   0.0716649     1.49308    1.57386     1.62036    1.67096    1.76919   0.00166108
a_subj(HC.hoarding).19              1.1803   0.0470115     1.09296    1.14766     1.17959    1.21168    1.27414  0.000828366
a_subj(HC.hoarding).20              1.0683   0.0654328    0.943422    1.02454      1.0671    1.10915    1.20257   0.00252897
a_subj(HC.hoarding).21            0.974963   0.0476331    0.884947   0.942985      0.9734    1.00678    1.07135   0.00131876
a_subj(HC.hoarding).22             1.39787   0.0752621     1.26413    1.34579     1.39264    1.44487    1.56469   0.00223262
a_subj(HC.hoarding).23             1.26457    0.067257     1.14279    1.21786      1.2611    1.30614    1.40954   0.00209791
a_subj(HC.hoarding).24             1.71645   0.0737103      1.5766    1.66714     1.71514    1.76257    1.86778   0.00179882
a_subj(HC.hoarding).25             1.83647   0.0710889     1.70214     1.7865     1.83406    1.88295    1.98284   0.00169604
a_subj(HC.hoarding).26             1.06029   0.0423175     0.97924    1.03099     1.05962    1.08905    1.14573   0.00109055
a_subj(HC.hoarding).27             1.71181    0.205685      1.3654    1.56357     1.68981    1.83888    2.17702    0.0134473
a_subj(HC.hoarding).28            0.891008   0.0363615    0.824059   0.865963    0.889636   0.914879   0.969068  0.000925883
a_subj(HC.hoarding).29             1.49106   0.0565157      1.3833    1.45125     1.49045    1.52948    1.60322    0.0012359
a_subj(HC.hoarding).30             1.13336   0.0480808     1.03796     1.1012     1.13251     1.1654    1.22683    0.0010715
a_subj(HC.hoarding).31             1.02598   0.0438844    0.942128   0.996057     1.02487    1.05509    1.11411  0.000983227
a_subj(HC.hoarding).32             1.52293   0.0647015     1.39796    1.47922     1.52061    1.56585    1.65371   0.00143615
a_subj(HC.hoarding).33             1.07176    0.048288    0.982577    1.03884     1.07112    1.10202    1.16971    0.0010048
a_subj(HC.hoarding).34             1.35614    0.058101     1.24022    1.31668     1.35659    1.39553    1.47276   0.00132324
a_subj(HC.hoarding).35             1.06172   0.0500712      0.9724      1.027     1.05875    1.09371    1.16764   0.00118915
a_subj(HC.hoarding).36             1.85438   0.0837284     1.69582    1.79678     1.85321    1.91235    2.01337   0.00222591
a_subj(HC.hoarding).37             1.60175   0.0705728     1.47431    1.55099     1.59891    1.64787     1.7456   0.00161704
a_subj(HC.hoarding).38             1.10964   0.0477275     1.02102    1.07736     1.10824    1.14004    1.20911   0.00112007
a_subj(HC.hoarding).39             1.49399   0.0691221     1.36323    1.44769     1.49079      1.537     1.6342   0.00160354
